timestamp,Close,High,Low,trade_count,Open,Volume,vwap,symbol
2023-04-26 12:00:00+00:00,29976.688,30029.29,28974.77330775,18155,28975.2,1167.762166046,29599.65866,BTC/USD
2023-04-26 19:00:00+00:00,27911.380145,29754.3,27700.0,33471,29754.3,2017.299572658,28595.721946,BTC/USD
2023-04-26 20:00:00+00:00,28459.31843,28469.34,27261.01,32840,27911.3,1934.545242022,27837.990932,BTC/USD
2023-04-27 00:00:00+00:00,29242.13945622,29499.0,28258.0,25299,28446.28,1717.579959182,29160.934132,BTC/USD
2023-04-27 01:00:00+00:00,28753.81624147,29354.0,28553.07,19686,29237.86,1336.194745938,28921.936623,BTC/USD
2023-04-27 15:00:00+00:00,29170.2359589,29571.27,28853.4,17122,29015.03,1155.209957712,29244.307916,BTC/USD
2023-04-27 18:00:00+00:00,29779.13607544,29912.28,29252.01,17108,29318.96,1115.947627521,29657.501337,BTC/USD
2023-04-27 19:00:00+00:00,29689.03260765,29870.39,29452.7624175,15600,29784.78,1152.882329182,29691.208594,BTC/USD
2023-05-02 14:00:00+00:00,28405.86041057,28680.53,27953.09540165,24025,28053.16,1086.918924335,28418.668789,BTC/USD
2023-05-03 18:00:00+00:00,28473.572692785,28835.45,28270.0,30417,28617.73,1435.267947341,28536.867888,BTC/USD
