,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
39,7,1422,1423,261.69928112472564,256.87566982230305,,288.3559287734168,-37.395303773587344,3.630024656629201,-0.02041345406227365,2003-11-23,2003-11-24,1 days,
40,-8,1429,1437,237.17083119605326,251.86261712500306,251.86261712500306,208.3705390335165,-121.44655501816683,3.9122675865684506,-0.06400795283599557,2003-11-30,2003-12-08,8 days,
41,6,1451,1453,279.3964601960591,300.3975970830013,256.6096714216754,297.1960249429794,122.52805697797896,3.4787643436743627,0.07309091466417655,2003-12-22,2003-12-24,2 days,
42,6,1455,1464,291.8543290759302,290.36724844660023,290.36724844660023,338.6192596204584,-12.415813241114982,3.4933294651351825,-0.007090188497132593,2003-12-26,2004-01-04,9 days,
43,4,1504,1520,407.79012899013117,466.2678585003675,387.2372477806869,459.8797413010297,230.41468609098328,3.4962319499619947,0.14125813115044747,2004-02-13,2004-02-29,16 days,
44,4,1521,1527,474.95674458936514,527.5614772976841,444.6835298241518,523.1410518386942,206.40885794572748,4.010072887548197,0.10864613477811697,2004-03-01,2004-03-07,6 days,
45,3,1562,1562,504.56543803553967,504.56543803553967,,579.8816895124055,-3.027392628213238,3.027392628213238,-0.002,2004-04-11,2004-04-11,0 days,
46,3,1629,1649,629.40293728439,727.4840616706537,582.995636995027,692.2931833739942,290.172712161926,4.070660996865131,0.1536761773064377,2004-06-17,2004-07-07,20 days,
47,2,1651,1673,741.7073076012967,704.8146989325544,704.8146989325544,817.5514344014615,-76.67826135055242,2.893044013067702,-0.05169037743374286,2004-07-09,2004-07-31,22 days,
48,-3,1785,1804,604.9266326380445,531.9816786278296,664.1175199237163,545.4185128165441,215.42413709684683,3.4107249337976224,0.11870537983391286,2004-11-20,2004-12-09,19 days,
49,-4,1808,1826,499.60705015416283,448.81102636931377,548.1075006902994,448.81102636931377,199.39042283330238,3.7936723060939066,0.09977362347657864,2004-12-13,2004-12-31,18 days,
50,3,1868,1870,540.4823362024601,523.9365769930489,,618.4104059251284,-52.83053436782026,3.193256739586527,-0.032582337928635144,2005-02-11,2005-02-13,2 days,
51,-3,1874,1874,555.3447759268977,557.2818505274685,557.2818505274685,473.3863710755834,-9.149103681075443,3.3378798793630984,-0.0054915457193868335,2005-02-17,2005-02-17,0 days,
