,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
79,446,34553,34559,2.228342125926315,2.2227971805715727,2.2227971805715727,2.2382835262275287,-2.870087254354758,0.3970416261396116,-0.002887874864981516,2023-12-10 17:00:00,2023-12-10 23:00:00,0 days 06:00:00,
80,446,34579,34579,2.226091961488568,2.2229053256164364,2.2229053256164364,2.2383916712723924,-1.8180901569805266,0.39685055800976643,-0.0018312070660489808,2023-12-11 19:00:00,2023-12-11 19:00:00,0 days 00:00:00,
81,447,34594,34595,2.222173570720264,2.2160290006778656,2.2160290006778656,2.2315153463338215,-3.1433981188351425,0.3967753098829928,-0.0031645640328621036,2023-12-12 10:00:00,2023-12-12 11:00:00,0 days 01:00:00,
82,447,34596,34597,2.220988934838604,2.2171316197744098,2.2171316197744098,2.2326179654303657,-2.1209878112772507,0.39676797758240345,-0.002136408291228952,2023-12-12 12:00:00,2023-12-12 13:00:00,0 days 01:00:00,
83,448,34608,34608,2.21415686096652,2.2113758985628142,2.2113758985628142,2.22686224421877,-1.6423988921139472,0.39652773525382834,-0.0016557403950193342,2023-12-13 00:00:00,2023-12-13 00:00:00,0 days 00:00:00,
84,450,34629,34638,2.207762324106654,2.2012778939811644,2.2012778939811644,2.2167642396371203,-3.3148071760983253,0.39681361962790374,-0.003336517744086445,2023-12-13 21:00:00,2023-12-14 06:00:00,0 days 09:00:00,
85,448,34646,34646,2.2127523699071303,2.209215807140802,2.209215807140802,2.224702152796758,-1.980588467978523,0.39620834866349475,-0.0019979444884397042,2023-12-14 14:00:00,2023-12-14 14:00:00,0 days 00:00:00,
86,447,34651,34651,2.219620378909018,2.2157201038617416,2.2157201038617416,2.2312064495176975,-2.1399423852922133,0.3965194391597059,-0.002156829694537022,2023-12-14 19:00:00,2023-12-14 19:00:00,0 days 00:00:00,
87,449,34666,34681,2.210411559625786,2.2045886871227527,2.2045886871227527,2.2200750327787087,-3.010936776019903,0.39646702215801877,-0.0030337665052376293,2023-12-15 10:00:00,2023-12-16 01:00:00,0 days 15:00:00,
88,449,34682,34682,2.20940359354087,2.2062671465748385,2.2062671465748385,2.2217534922307944,-1.8047919202104556,0.39652723246239063,-0.0018193059546954568,2023-12-16 02:00:00,2023-12-16 02:00:00,0 days 00:00:00,
